Name,Price,Comment,Shop,Type
汤姆福特（TOM FORD） Tom Ford  汤姆福特tf口红16号15号80号唇膏 TF黑管80号  复古宝石红,￥303.00,4400+条评价,弗艾美妆专营店,"
闪购
券500-60赠 险"
迪奥（Dior） Dior迪奥口红女士唇膏 烈艳蓝金 烈艳蓝金567# 赠礼盒礼袋,￥238.00,2.7万+条评价,弗艾美妆专营店,"
闪购
券500-60赠 险"
香奈儿（Chanel） 香奈儿炫亮魅力丝绒唇膏口红咬唇妆保湿哑光持久不掉色57/99/62 96#橘红色_古灵精怪,￥235.00,4.1万+条评价,弗艾美妆专营店,"
闪购
券100-5赠 险"
美宝莲（MAYBELLINE）纵情耀星钻系列唇膏 SNU58 流金奶茶色 小灯管口红 3g,￥79.00,7700+条评价,美宝莲京东自营官方旗舰店,"
自营
闪购
券159-30满499-150 "
圣罗兰（YSL）莹亮纯魅唇膏14#,￥310.00,5.9万+条评价,YSL圣罗兰美妆京东自营专区,"
自营
闪购
券500-50满499-150 "
香奈儿（Chanel） 香奈儿炫亮魅力丝绒唇膏口红咬唇妆保湿哑光持久不掉色57/99/62 丝绒口红90#  浅橘色,￥235.00,4.1万+条评价,弗艾美妆专营店,"
闪购
券100-5赠 险"
欧莱雅 （LOREAL） 纷泽琉光奢润唇釉 307枫叶狂想曲 5.5ml,￥122.00,3.1万+条评价,欧莱雅京东自营官方旗舰店,"
自营
闪购
券159-30满199-100 "
迪奥（Dior） Dior迪奥口红女士唇膏 烈艳蓝金 烈艳蓝金028# 赠礼盒礼袋,￥238.00,2.7万+条评价,弗艾美妆专营店,"
闪购
券500-60赠 险"
透真玻尿酸高保湿变色润唇膏粉色2g（护唇膏 口红 不沾杯 不掉色 滋润补水 男女通用）,￥44.00,2.1万+条评价,透真京东自营旗舰店,"
自营
秒杀
券300-50满199-100赠 "
汤姆福特（TOM FORD） Tom Ford  汤姆福特tf口红16号15号80号唇膏 TF黑管15号 野性姜红/橘红色,￥303.00,4400+条评价,弗艾美妆专营店,"
闪购
券500-60赠 险"
